||||||||||
Ник продавца латиницей||vasiliy|(Ник в ЖЖ, любой другой или просто фамилия-имя)|||||||
||||||||||
ФИО||Вася Васин||||||||
||||||||||
Телефон для связи||9123456789||||||||
||||||||||
E-mail||fake@fake.fake||||||||
|||||||||НЕ РЕДАКТИРОВАТЬ |
||||||||||
||||||||||
||||||||||
||||||||||
Перевод денег||1|(цифра)|||||||
||12345678987654300|(№ карты, ФИО или тел, оператор)|||||||
1 — перевести на карту Сбербанка: указать  № карты, Имя Отчество Ф. получателя — обязательно!)||||||||||
2 — перевести на телефон: указать № телефона, оператора связи||||||||||
||||||||||
||||||||||
Код приемщика||F1|(латинская буква и цифра!)|||||||
||||||||||
Индивидуальный код (ВНИМАНИЕ! ТОЛЬКО ЗАГЛАВНЫЕ БУКВЫ ЛАТИНИЦЕЙ И ЦИФРЫ!)||||||||||
q1w3||Первая буква фамилии + первая буква имени + вторая цифра дня рождения + вторая цифра месяца рождения|||||||62|
||Итого 2 буквы + 2 цифры||||||||
||||||||||
Номер листа|1|||||||||
||||||||||
Порядковый номер вещи|Название вещи, описание, брэнд. ||Размер|Цена|Скидка на total sale|Отдать на благ.?|Артикул (автозаполнение!!!)|||
||||||||||
001|вещь||1|123|0%|*|*q1w3001K*||K|001
002|ещё вещь||2|321|10%||*q1w3002L*||L|002
003|||||||*q1w3003M*||M|003
004|||||||*q1w3004N*||N|004
005|||||||*q1w3005O*||O|005
006|||||||*q1w3006P*||P|006
007|||||||*q1w3007Q*||Q|007
008|||||||*q1w3008R*||R|008
009|||||||*q1w3009S*||S|009
010|||||||*q1w3010K*||K|010
011|||||||*q1w3011L*||L|011
012|||||||*q1w3012M*||M|012
013|||||||*q1w3013N*||N|013
014|||||||*q1w3014O*||O|014
015|||||||*q1w3015P*||P|015
016|||||||*q1w3016Q*||Q|016
017|||||||*q1w3017R*||R|017
018|||||||*q1w3018S*||S|018
019|||||||*q1w3019T*||T|019
020|||||||*q1w3020L*||L|020
021|||||||*q1w3021M*||M|021
022|||||||*q1w3022N*||N|022
023|||||||*q1w3023O*||O|023
024|||||||*q1w3024P*||P|024
025|||||||*q1w3025Q*||Q|025
026|||||||*q1w3026R*||R|026
027|||||||*q1w3027S*||S|027
028|||||||*q1w3028T*||T|028
029|||||||*q1w3029U*||U|029
030|||||||*q1w3030M*||M|030
031|||||||*q1w3031N*||N|031
032|||||||*q1w3032O*||O|032
